Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
Picobirnavirus horse/BRA-02/2009,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus jaguar/URU-01/2009,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus lion/URU-01/2010,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-16/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-17/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-18/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-19/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-2/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-20/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-22/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-25/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-27/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-28/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-3/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-33/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-34/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-36/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-37/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-38/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-4/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-41/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-45/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-46/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-48/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-5/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-51/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-53/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-56/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-59/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-60/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-61/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-62/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-65/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-66/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-67/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-70/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-71/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-72/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-73/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-74/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-76/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-78/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-79/2003,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-8/2002,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus monkey/CHN-83/2003,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus mouse/M-58/USA/2008,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/114/ARG/2004,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/14/ARG/2003,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/161/ARG/2006,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/179/ARG/2006,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/73/ARG/2003,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/98/ARG/2004,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/BG-Por-2/India/2010,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/BRA-01/1998,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus pig/BRA-02/1999,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-1,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-10,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-100,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-101,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-102,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-103,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-104,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-105,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-106,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-107,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-108,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-109,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-11,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-110,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-111,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-112,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-113,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-114,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-115,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-116,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-117,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-118,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-119,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-12,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-120,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-121,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-13,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-14,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-15,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-16,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-17,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-18,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-19,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-2,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-20,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-21,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-22,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-23,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-24,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-25,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-26,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-27,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-28,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-29,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-3,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-30,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-31,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-32,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-33,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-34,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-35,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-36,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-37,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-38,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-39,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-4,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-40,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-41,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-42,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-43,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-44,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-45,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-46,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-47,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-48,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-49,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-5,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-50,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-51,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-52,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-53,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-54,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-55,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-57,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-58,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-59,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-6,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-60,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-61,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-62,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-63,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-64,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-65,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-66,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-67,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-68,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-69,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-7,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-70,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-71,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-72,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-73,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-74,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-75,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-76,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-77,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-78,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-79,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-8,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-80,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-81,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-82,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-83,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-84,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-85,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-86,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-87,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-88,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-89,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-9,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-90,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-91,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-92,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-93,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-94,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-95,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-96,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-97,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-98,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus PREDICT_PbV-99,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus puma/URU-01/2010,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus rabbit/BRA-01/2004,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus rat/BRA-04/2006,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus sp.,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus SPBV-3,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus turkey/USA-1507/2010,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picobirnavirus turkey/USA-1512/2010,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Picorna-like virus Eptesicus fuscus/P1/InV1/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picorna-like virus Eptesicus fuscus/P2/InV1/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picorna-like virus Eptesicus fuscus/P2/InV2/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picorna-like virus Eptesicus fuscus/P2/InV3/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picorna-like virus Eptesicus fuscus/P4/InV1/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picorna-like virus Eptesicus fuscus/P5/InLV/IT/USA/2009,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirales Bu-3,,,Picornavirales,Pisoniviricetes
Picornavirales sp.,,,Picornavirales,Pisoniviricetes
Picornavirales Tottori-HG1,,,Picornavirales,Pisoniviricetes
Picornavirales Tottori-HG2,,,Picornavirales,Pisoniviricetes
Picornavirales Tottori-HG3,,,Picornavirales,Pisoniviricetes
Picornavirales Tottori-HG4,,,Picornavirales,Pisoniviricetes
Picornaviridae sp.,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornaviridae str. China/GDFY100/2008,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus chicken/CHK1/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus chicken/CHK148/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus chicken/CHK165/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus chicken/CHK168/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus chicken/CHK175/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST34/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST35/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST36/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST37/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST38/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST39/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST65/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST66/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/AAUST67/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus fur seal/ATROP61/BR/2012,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus PREDICT_PicornaV-1,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus PREDICT_PicornaV-2,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus PREDICT_PicornaV-3,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus PREDICT_PicornaV-4,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus turkey/TRK22/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus turkey/TRK24/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus turkey/TRK90/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Picornavirus turkey/TRK91/USA/2010,,Picornaviridae,Picornavirales,Pisoniviricetes
Pig astrovirus ahast-2,,Astroviridae,Stellavirales,Stelpaviricetes
Pig astrovirus CX1,,Astroviridae,Stellavirales,Stelpaviricetes
Pig stool associated circular ssDNA virus,Drosmacovirus,Smacoviridae,Cremevirales,Arfiviricetes
Pig stool associated circular ssDNA virus GER2011,,Smacoviridae,Cremevirales,Arfiviricetes
Pigeon-dominant Coronavirus,,Coronaviridae,Nidovirales,Pisoniviricetes
Pigeon adenovirus 2a,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon adenovirus 2b,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon adenovirus 3,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon adenovirus 4,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon adenovirus 5,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon aviadenovirus B,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pigeon circovirus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Pigeon gyrovirus,Gyrovirus,Anelloviridae,,
Pigeon mesivirus 2,,Picornaviridae,Picornavirales,Pisoniviricetes
Pigeon picornavirus B,,Picornaviridae,Picornavirales,Pisoniviricetes
Pigeonpox virus,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Pika astrovirus Ot/FG164/Yunnan,,Astroviridae,Stellavirales,Stelpaviricetes
Pika astrovirus Ot/FG165/Yunnan,,Astroviridae,Stellavirales,Stelpaviricetes
Pileated finch aveparvovirus,Aveparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Piliocolobus badius adenovirus 1,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Piliocolobus badius adenovirus 2,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Piliocolobus badius adenovirus 3,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Piliocolobus badius lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Piliocolobus badius lymphocryptovirus 2,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Piliocolobus badius polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Piliocolobus rufomitratus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Pine marten bocavirus,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Pingu picornavirus,,,Picornavirales,Pisoniviricetes
Pinhal virus,Arenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Pink-eared duck avastrovirus,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Pink-eared duck calicivirus I,,Caliciviridae,Picornavirales,Pisoniviricetes
Pink-eared duck calicivirus II,,Caliciviridae,Picornavirales,Pisoniviricetes
Pink-eared duck megrivirus,Megrivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Pink-eared duck picobirnavirus,,Picobirnaviridae,Durnavirales,Duplopiviricetes
Pink-eared duck picornavirus,,Picornaviridae,Picornavirales,Pisoniviricetes
Pinniped bocaparvovirus 1,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Pinniped bocaparvovirus 2,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Pinniped dependoparvovirus 1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Pinniped erythroparvovirus 1,Erythroparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Pipapillomavirus 1,Pipapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Pipapillomavirus 2,Pipapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Pipistrellus abramus bat coronavirus HKU5-related,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Pipistrellus bat alphacoronavirus,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Pipistrellus kuhlii betaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Pipistrellus pipistrellus betaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Pipistrellus pipistrellus betaherpesvirus 2,,Herpesviridae,Herpesvirales,Herviviricetes
Pipistrellus pipistrellus polyomavirus 1,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Pipistrellus pygmaeus betaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Pirital mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Piry vesiculovirus,Vesiculovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Piscine novirhabdovirus,Novirhabdovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Pithecia pithecia cytomegalovirus,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Pithecia pithecia lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Pithecia pithecia polyomavirus 1,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Pixuna virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Plant associated genomovirus 2,,Genomoviridae,Geplafuvirales,Repensiviricetes
Playa de Oro hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Plecotus auritus rhabdovirus 1,,Rhabdoviridae,Mononegavirales,Monjiviricetes
Plecotus austriacus betaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Plecotus austriacus betaherpesvirus 2,,Herpesviridae,Herpesvirales,Herviviricetes
Plum headed parakeet adenovirus 1,Siadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Pneumovirus sp.,,Pneumoviridae,Mononegavirales,Monjiviricetes
