Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Dictyostelium discoideum,Dictyostelium discoideum,44689,Dictyostelium,Dictyosteliaceae,Dictyosteliales,Eumycetozoa
Dictyostelium polycephalum,Coremiostelium polycephalum,142831,Coremiostelium,NA,Dictyosteliales,Eumycetozoa
Dietzia aurantiaca,Dietzia aurantiaca,983873,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Dietzia cinnamea,Dietzia cinnamea,321318,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Dietzia maris,Dietzia maris,37915,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Dietzia natronolimnaea,Dietzia natronolimnaea,161920,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Dietzia papillomatosis,Dietzia papillomatosis,282305,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Dietzia timorensis,Dietzia timorensis,499555,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia
Diplogonoporus balaenopterae,Diplogonoporus balaenopterae,463145,Diplogonoporus,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Diplogonoporus grandis,Diplogonoporus grandis,433352,Diplogonoporus,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Diplorickettsia massiliensis,Diplorickettsia massiliensis,676517,Diplorickettsia,Coxiellaceae,Legionellales,Gammaproteobacteria
Dipodascus capitatus,Magnusiomyces capitatus,1095183,Magnusiomyces,Dipodascaceae,Saccharomycetales,Saccharomycetes
Dokdonella koreensis,Dokdonella koreensis,323415,Dokdonella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
Dolosigranulum pigrum,Dolosigranulum pigrum,29394,Dolosigranulum,Carnobacteriaceae,Lactobacillales,Bacilli
Dorea formicigenerans,Dorea formicigenerans,39486,Dorea,Lachnospiraceae,Eubacteriales,Clostridia
Dorea longicatena,Dorea longicatena,88431,Dorea,Lachnospiraceae,Eubacteriales,Clostridia
Dyella japonica,Dyella japonica,231455,Dyella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
Dysgonomonas capnocytophagoides,Dysgonomonas capnocytophagoides,45254,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia
Dysgonomonas gadei,Dysgonomonas gadei,156974,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia
Dysgonomonas hofstadii,Dysgonomonas hofstadii,637886,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia
Dysgonomonas mossii,Dysgonomonas mossii,163665,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia
Echinochasmus japonicus,Echinochasmus japonicus,1197313,Echinochasmus,Echinochasmidae,Plagiorchiida,Trematoda
Echinostoma hortense,Echinostoma hortense,48216,Echinostoma,Echinostomatidae,Plagiorchiida,Trematoda
Echinostoma ilocanum,Echinostoma ilocanum,2780386,Echinostoma,Echinostomatidae,Plagiorchiida,Trematoda
Echinostoma revolutum,Echinostoma revolutum,48217,Echinostoma,Echinostomatidae,Plagiorchiida,Trematoda
Effusibacillus consociatus,Effusibacillus consociatus,1117041,Effusibacillus,Alicyclobacillaceae,Bacillales,Bacilli
Eggerthella lenta,Eggerthella lenta,84112,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia
Eggerthella sinensis,Eggerthella sinensis,242230,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia
Eggerthia catenaformis,Eggerthia catenaformis,31973,Eggerthia,Coprobacillaceae,Erysipelotrichales,Erysipelotrichia
Eisenbergiella tayi,Eisenbergiella tayi,1432052,Eisenbergiella,Lachnospiraceae,Eubacteriales,Clostridia
Elizabethkingia anophelis,Elizabethkingia anophelis,1117645,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia
Elizabethkingia miricola,Elizabethkingia miricola,172045,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia
Emericella nidulans,Aspergillus nidulans,162425,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
Emericella quadrilineata,Aspergillus quadrilineatus,41735,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
Emericella rugulosa,Aspergillus rugulosus,41736,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
Emmonsia crescens,Emmonsia crescens,73230,Emmonsia,Ajellomycetaceae,Onygenales,Eurotiomycetes
Emmonsia parva,Blastomyces parvus,2060905,Blastomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes
Empedobacter falsenii,Empedobacter falsenii,343874,Empedobacter,Weeksellaceae,Flavobacteriales,Flavobacteriia
Encephalitozoon intestinalis,Encephalitozoon intestinalis,58839,Encephalitozoon,Unikaryonidae,NA,NA
Engyodontium album,Parengyodontium album,37998,Parengyodontium,Cordycipitaceae,Hypocreales,Sordariomycetes
Entamoeba dispar,Entamoeba dispar,46681,Entamoeba,Entamoebidae,Mastigamoebida,NA
Entamoeba moshkovskii,Entamoeba moshkovskii,41668,Entamoeba,Entamoebidae,Mastigamoebida,NA
Enterobacter asburiae,Enterobacter asburiae,61645,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Enterobacter cancerogenus,Enterobacter cancerogenus,69218,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Enterobacter kobei,Enterobacter kobei,208224,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Enterococcus caccae,Enterococcus caccae,317735,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus gilvus,Enterococcus gilvus,160453,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus hawaiiensis,Enterococcus hawaiiensis,237615,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus italicus,Enterococcus italicus,246144,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus pallens,Enterococcus pallens,160454,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus pseudoavium,Enterococcus pseudoavium,44007,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Enterococcus sanguinicola,Enterococcus thailandicus,417368,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Epicoccum nigrum,Epicoccum nigrum,105696,Epicoccum,Didymellaceae,Pleosporales,Dothideomycetes
Erwinia persicinus,Erwinia persicina,55211,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria
Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,1547,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Erythromicrobium ramosum,Erythrobacter ramosus,35811,Erythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria
Eubacterium biforme,Holdemanella biformis,1735,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Eubacterium callanderi,Eubacterium callanderi,53442,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
Eubacterium combesii,Clostridium combesii,39481,Clostridium,Clostridiaceae,Eubacteriales,Clostridia
Eubacterium contortum,Faecalicatena contorta,39482,Faecalicatena,Lachnospiraceae,Eubacteriales,Clostridia
Eubacterium cylindroides,Faecalitalea cylindroides,39483,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Eubacterium hallii,Anaerobutyricum hallii,39488,Anaerobutyricum,Lachnospiraceae,Eubacteriales,Clostridia
Eubacterium limosum,Eubacterium limosum,1736,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
Eubacterium minutum,[Eubacterium] minutum,76124,NA,NA,NA,NA
Eubacterium multiforme,Eubacterium multiforme,83339,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
Eubacterium rectale,[Eubacterium] rectale,39491,NA,NA,NA,NA
Eubacterium saburreum,Lachnoanaerobaculum saburreum,467210,Lachnoanaerobaculum,Lachnospiraceae,Eubacteriales,Clostridia
Eubacterium saphenum,[Eubacterium] saphenum,51123,NA,NA,NA,NA
Eubacterium sulci,[Eubacterium] sulci,143393,NA,NA,NA,NA
Eubacterium tenue,[Eubacterium] tenue,1737,NA,NA,NA,NA
Eubacterium yurii,[Eubacterium] yurii,39498,NA,NA,NA,NA
Exiguobacterium aurantiacum,Exiguobacterium aurantiacum,33987,Exiguobacterium,NA,Bacillales,Bacilli
Exophiala dermatitidis,Exophiala dermatitidis,5970,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Exophiala jeanselmei,Exophiala jeanselmei,5584,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Exophiala phaeomuriformis,Exophiala phaeomuriformis,406760,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Exophiala spinifera,Exophiala spinifera,91928,Exophiala,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Facklamia hominis,Facklamia hominis,178214,Facklamia,Aerococcaceae,Lactobacillales,Bacilli
Facklamia ignava,Facklamia ignava,137730,Facklamia,Aerococcaceae,Lactobacillales,Bacilli
Facklamia languida,Facklamia languida,82347,Facklamia,Aerococcaceae,Lactobacillales,Bacilli
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,853,Faecalibacterium,Oscillospiraceae,Eubacteriales,Clostridia
Faecalitalea cylindroides,Faecalitalea cylindroides,39483,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Fastidiosipila sanguinis,Fastidiosipila sanguinis,236753,Fastidiosipila,Oscillospiraceae,Eubacteriales,Clostridia
Filifactor alocis,Filifactor alocis,143361,Filifactor,Peptostreptococcaceae,Eubacteriales,Clostridia
Finegoldia magna,Finegoldia magna,1260,Finegoldia,Peptoniphilaceae,Tissierellales,Tissierellia
Flavobacterium lindanitolerans,Flavobacterium lindanitolerans,428988,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Flavonifractor plautii,Flavonifractor plautii,292800,Flavonifractor,Oscillospiraceae,Eubacteriales,Clostridia
Flexal virus,Flexal mammarenavirus,45220,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Fluoribacter bozemanae,Fluoribacter bozemanae,447,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria
Fluoribacter dumoffii,Fluoribacter dumoffii,463,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria
Fluoribacter gormanii,Fluoribacter gormanii,464,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria
Fonsecaea monophora,Fonsecaea monophora,254056,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Fonsecaea pedrosoi,Fonsecaea pedrosoi,40355,Fonsecaea,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes
Francisella hispaniensis,Francisella hispaniensis,622488,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
Francisella philomiragia,Francisella philomiragia,28110,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
Fretibacterium fastidiosum,Fretibacterium fastidiosum,651822,Fretibacterium,Synergistaceae,Synergistales,Synergistia
Fusarium chlamydosporum,Fusarium chlamydosporum,86545,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium falciforme,Fusarium falciforme,195108,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium incarnatum,Fusarium incarnatum,298378,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium napiforme,Fusarium napiforme,42672,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium polyphialidicum,Fusarium polyphialidicum,44410,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium sacchari,Fusarium sacchari,42676,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium subglutinans,Fusarium subglutinans,42677,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusarium verticillioides,Fusarium verticillioides,117187,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Fusobacterium gonidiaformans,Fusobacterium gonidiaformans,849,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Fusobacterium mortiferum,Fusobacterium mortiferum,850,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Fusobacterium naviforme,Fusobacterium naviforme,77917,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Fusobacterium periodonticum,Fusobacterium periodonticum,860,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Fusobacterium ulcerans,Fusobacterium ulcerans,861,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Gammapapillomavirus 1,Gammapapillomavirus 1,333926,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 10,Gammapapillomavirus 10,1175852,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 11,Gammapapillomavirus 11,1513256,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 12,Gammapapillomavirus 12,1513257,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 13,Gammapapillomavirus 13,1513258,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 14,Gammapapillomavirus 14,1513259,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 15,Gammapapillomavirus 15,1513260,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 16,Gammapapillomavirus 16,1513261,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 17,Gammapapillomavirus 17,1513262,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 18,Gammapapillomavirus 18,1513263,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 19,Gammapapillomavirus 19,1513264,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 2,Gammapapillomavirus 2,333928,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 20,Gammapapillomavirus 20,1513265,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 6,Gammapapillomavirus 6,1175848,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 7,Gammapapillomavirus 7,1175849,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 8,Gammapapillomavirus 8,1175850,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gammapapillomavirus 9,Gammapapillomavirus 9,1175851,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Gemella asaccharolytica,Gemella asaccharolytica,502393,Gemella,NA,Bacillales,Bacilli
Gemella bergeri,Gemella bergeri,84136,Gemella,NA,Bacillales,Bacilli
Gemella parahaemolysans,Gemella parahaemolysans,1179782,Gemella,NA,Bacillales,Bacilli
Gemella sanguinis,Gemella sanguinis,84135,Gemella,NA,Bacillales,Bacilli
Gemella taiwanensis,Gemella taiwanensis,1179787,Gemella,NA,Bacillales,Bacilli
Geosmithia argillacea,Rasamsonia argillacea,69808,Rasamsonia,Trichocomaceae,Eurotiales,Eurotiomycetes
Gibberella moniliformis,Fusarium verticillioides,117187,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Gibbon ape leukemia virus,Gibbon ape leukemia virus,11840,Gammaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Globicatella sanguinis,Globicatella sanguinis,13076,Globicatella,Aerococcaceae,Lactobacillales,Bacilli
Gnathostoma hispidum,Gnathostoma hispidum,279404,Gnathostoma,Gnathostomatidae,Rhabditida,Chromadorea
Gordonia aichiensis,Gordonia aichiensis,36820,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia araii,Gordonia araii,263909,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia bronchialis,Gordonia bronchialis,2054,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia effusa,Gordonia effusa,263908,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia iterans,Gordonia iterans,1004901,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia otitidis,Gordonia otitidis,249058,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia polyisoprenivorans,Gordonia polyisoprenivorans,84595,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia rubripertincta,Gordonia rubripertincta,36822,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia sputi,Gordonia sputi,36823,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonia terrae,Gordonia terrae,2055,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia
Gordonibacter pamelaeae,Gordonibacter pamelaeae,471189,Gordonibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia
Granulicatella adiacens,Granulicatella adiacens,46124,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli
Granulicatella elegans,Granulicatella elegans,137732,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli
Graphium basitruncatum,Graphium basitruncatum,118975,Graphium,Graphiaceae,Microascales,Sordariomycetes
Gryllotalpicola ginsengisoli,Gryllotalpicola ginsengisoli,444608,Gryllotalpicola,Microbacteriaceae,Micrococcales,Actinomycetia
Guanarito virus,Guanarito mammarenavirus,45219,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Haematobacter massiliensis,Haematobacter massiliensis,195105,Haematobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria
Haematobacter missouriensis,Haematobacter missouriensis,366616,Haematobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria
Haemophilus aegyptius,Haemophilus aegyptius,197575,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Haemophilus ducreyi,[Haemophilus] ducreyi,730,NA,NA,NA,NA
Haemophilus haemolyticus,Haemophilus haemolyticus,726,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Haemophilus influenzae,Haemophilus influenzae,727,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Haemophilus paraphrohaemolyticus,Haemophilus paraphrohaemolyticus,736,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Haemophilus pittmaniae,Haemophilus pittmaniae,249188,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Haemophilus sputorum,Haemophilus sputorum,1078480,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Hafnia paralvei,Hafnia paralvei,546367,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria
Halomonas hamiltonii,Halomonas hamiltonii,502829,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
Halomonas johnsoniae,Halomonas johnsoniae,502832,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
Halomonas stevensii,Halomonas stevensii,502821,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
Halomonas venusta,Halomonas venusta,44935,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
Hathewaya histolytica,Hathewaya histolytica,1498,Hathewaya,Clostridiaceae,Eubacteriales,Clostridia
Helcococcus sueciensis,Helcococcus sueciensis,241555,Helcococcus,Peptoniphilaceae,Tissierellales,Tissierellia
Helicobacter bilis,Helicobacter bilis,37372,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Helicobacter cinaedi,Helicobacter cinaedi,213,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Helicobacter fennelliae,Helicobacter fennelliae,215,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Helicobacter hepaticus,Helicobacter hepaticus,32025,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Hepatitis delta virus,Hepatitis delta virus,12475,Deltavirus,NA,NA,NA
Herminiimonas saxobsidens,Herminiimonas saxobsidens,427333,Herminiimonas,Oxalobacteraceae,Burkholderiales,Betaproteobacteria
Heterophyes nocens,Heterophyes nocens,104455,Heterophyes,Heterophyidae,Opisthorchiida,Trematoda
Hortaea werneckii,Hortaea werneckii,91943,Hortaea,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes
Human astrovirus,Human astrovirus,1868658,NA,Astroviridae,Stellavirales,Stelpaviricetes
Human herpesvirus 3,Human alphaherpesvirus 3,10335,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
Human herpesvirus 5,Human betaherpesvirus 5,10359,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Human herpesvirus 6,Human betaherpesvirus 6,10368,Roseolovirus,Herpesviridae,Herpesvirales,Herviviricetes
Human herpesvirus 7,Human betaherpesvirus 7,10372,Roseolovirus,Herpesviridae,Herpesvirales,Herviviricetes
Human immunodeficiency virus 1,Human immunodeficiency virus 1,11676,Lentivirus,Retroviridae,Ortervirales,Revtraviricetes
Human immunodeficiency virus 2,Human immunodeficiency virus 2,11709,Lentivirus,Retroviridae,Ortervirales,Revtraviricetes
Human papillomavirus 1,Mupapillomavirus 1,334203,Mupapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 10,Alphapapillomavirus 2,337039,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 16,Human papillomavirus type 16,333760,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 18,Alphapapillomavirus 7,337042,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 2,Alphapapillomavirus 4,337043,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 26,Alphapapillomavirus 5,337044,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 32,Alphapapillomavirus 1,337048,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 34,Alphapapillomavirus 11,337049,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 4,Human papillomavirus 4,10617,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 41,Nupapillomavirus 1,334205,Nupapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 48,Gammapapillomavirus 2,333928,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 49,Betapapillomavirus 3,334207,Betapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 50,Gammapapillomavirus 3,333929,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 53,Alphapapillomavirus 6,337050,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 54,Human papillomavirus type 54,1671798,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 6,Alphapapillomavirus 10,333754,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 60,Gammapapillomavirus 4,333930,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 61,Alphapapillomavirus 3,333767,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 63,Mupapillomavirus 2,334204,Mupapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 7,Alphapapillomavirus 8,333757,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human papillomavirus 88,Gammapapillomavirus 5,333931,Gammapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Human parainfluenza virus 4,Human orthorubulavirus 4,2560526,Orthorubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Human parechovirus,Parechovirus a,1803956,Parechovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Human polyomavirus 2,Human polyomavirus 2,1891763,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Human torovirus,Human torovirus,67605,Torovirus,Tobaniviridae,Nidovirales,Pisoniviricetes
Hungatella hathewayi,Hungatella hathewayi,154046,Hungatella,Clostridiaceae,Eubacteriales,Clostridia
Hymenolepis nana,Rodentolepis nana,102285,Rodentolepis,Hymenolepididae,Cyclophyllidea,Cestoda
Hyphopichia burtonii,Hyphopichia burtonii,717740,Hyphopichia,Debaryomycetaceae,Saccharomycetales,Saccharomycetes
Ignatzschineria indica,Ignatzschineria indica,472583,Ignatzschineria,NA,NA,Gammaproteobacteria
Ignatzschineria larvae,Ignatzschineria larvae,112009,Ignatzschineria,NA,NA,Gammaproteobacteria
Inonotus tropicalis,Tropicoporus tropicalis,1660027,Tropicoporus,Hymenochaetaceae,Hymenochaetales,Agaricomycetes
Inquilinus limosus,Inquilinus limosus,171674,Inquilinus,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria
Isfahan virus,Isfahan virus,290008,Vesiculovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Janibacter anophelis,Janibacter anophelis,319054,Janibacter,Intrasporangiaceae,Micrococcales,Actinomycetia
Janibacter melonis,Janibacter melonis,262209,Janibacter,Intrasporangiaceae,Micrococcales,Actinomycetia
Johnsonella ignava,Johnsonella ignava,43995,Johnsonella,Lachnospiraceae,Eubacteriales,Clostridia
Jonquetella anthropi,Jonquetella anthropi,428712,Jonquetella,Synergistaceae,Synergistales,Synergistia
Juquitiba virus,Juquitiba virus,430511,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Kedougou virus,Kedougou virus,64311,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Kemerovo virus,Kemerovo virus,40064,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Kerstersia gyiorum,Kerstersia gyiorum,206506,Kerstersia,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Kerstersia similis,Kerstersia similis,206505,Kerstersia,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Kingella denitrificans,Kingella denitrificans,502,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria
Kingella oralis,Kingella oralis,505,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria
Klebsiella granulomatis,Klebsiella granulomatis,39824,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,1463165,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Klebsiella variicola,Klebsiella variicola,244366,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Kluyveromyces marxianus,Kluyveromyces marxianus,4911,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes
Kocuria kristinae,Rothia kristinae,37923,Rothia,Micrococcaceae,Micrococcales,Actinomycetia
Kocuria polaris,Kocuria polaris,136273,Kocuria,Micrococcaceae,Micrococcales,Actinomycetia
Kocuria rhizophila,Kocuria rhizophila,72000,Kocuria,Micrococcaceae,Micrococcales,Actinomycetia
Kocuria rosea,Kocuria rosea,1275,Kocuria,Micrococcaceae,Micrococcales,Actinomycetia
Kocuria salsicia,Kocuria salsicia,664639,Kocuria,Micrococcaceae,Micrococcales,Actinomycetia
